# Auto-Generated random dev data made by ChatGPT.
#Label,Activity Description,Start Timestamp,End Timestamp
personal,Running errands or personal tasks,2024-10-01 06:00:00,2024-10-01 10:00:00
work,Working on a project,2024-10-01 10:00:00,2024-10-01 13:20:00
exercise,Going for a run or workout,2024-10-01 13:20:00,2024-10-01 14:07:00
personal,Running errands or personal tasks,2024-10-01 14:07:00,2024-10-01 14:54:00
work,Working on a project,2024-10-01 14:54:00,2024-10-01 19:07:00
work,Working on a project,2024-10-01 19:07:00,2024-10-01 23:08:00
sleep,Sleeping time,2024-10-01 23:43:00,2024-10-02 09:43:00
leisure,Watching TV or reading,2024-10-04 09:22:00,2024-10-04 11:45:00
leisure,Watching TV or reading,2024-10-04 11:45:00,2024-10-04 14:45:00
personal,Running errands or personal tasks,2024-10-04 14:45:00,2024-10-04 15:27:00
leisure,Watching TV or reading,2024-10-04 15:27:00,2024-10-04 19:31:00
leisure,Watching TV or reading,2024-10-04 19:31:00,2024-10-04 23:24:00
leisure,Watching TV or reading,2024-10-04 23:24:00,2024-10-05 00:07:00
leisure,Watching TV or reading,2024-10-05 00:07:00,2024-10-05 02:01:00
exercise,Going for a run or workout,2024-10-05 02:01:00,2024-10-05 06:49:00
work,Working on a project,2024-10-05 06:49:00,2024-10-05 06:54:00
exercise,Going for a run or workout,2024-10-05 06:54:00,2024-10-05 11:26:00
exercise,Going for a run or workout,2024-10-05 11:26:00,2024-10-05 11:41:00
sleep,Sleeping time,2024-10-05 22:55:00,2024-10-06 07:55:00
work,Working on a project,2024-10-06 07:55:00,2024-10-06 10:50:00
personal,Running errands or personal tasks,2024-10-07 06:07:00,2024-10-07 07:03:00
leisure,Watching TV or reading,2024-10-07 07:03:00,2024-10-07 11:34:00
work,Working on a project,2024-10-07 11:34:00,2024-10-07 13:24:00
personal,Running errands or personal tasks,2024-10-07 13:24:00,2024-10-07 17:08:00
sleep,Sleeping time,2024-10-07 21:55:00,2024-10-08 06:55:00
exercise,Going for a run or workout,2024-10-08 06:55:00,2024-10-08 10:09:00
personal,Running errands or personal tasks,2024-10-08 10:09:00,2024-10-08 12:02:00
leisure,Watching TV or reading,2024-10-08 12:02:00,2024-10-08 13:35:00
personal,Running errands or personal tasks,2024-10-08 13:35:00,2024-10-08 18:24:00
leisure,Watching TV or reading,2024-10-08 18:24:00,2024-10-08 19:11:00
work,Working on a project,2024-10-08 19:11:00,2024-10-08 20:06:00
personal,Running errands or personal tasks,2024-10-08 20:06:00,2024-10-08 22:37:00
sleep,Sleeping time,2024-10-08 23:04:00,2024-10-09 05:04:00
exercise,Going for a run or workout,2024-10-09 05:04:00,2024-10-09 05:47:00
work,Working on a project,2024-10-09 05:47:00,2024-10-09 09:09:00
leisure,Watching TV or reading,2024-10-09 09:09:00,2024-10-09 13:49:00
sleep,Sleeping time,2024-10-09 23:36:00,2024-10-10 07:36:00
exercise,Going for a run or workout,2024-10-10 07:36:00,2024-10-10 09:57:00
sleep,Sleeping time,2024-10-10 23:39:00,2024-10-11 05:39:00
exercise,Going for a run or workout,2024-10-11 05:39:00,2024-10-11 06:05:00
personal,Running errands or personal tasks,2024-10-11 06:05:00,2024-10-11 08:47:00
personal,Running errands or personal tasks,2024-10-11 08:47:00,2024-10-11 11:45:00
sleep,Sleeping time,2024-10-11 21:04:00,2024-10-12 07:04:00
personal,Running errands or personal tasks,2024-10-12 07:04:00,2024-10-12 09:29:00
exercise,Going for a run or workout,2024-10-12 09:29:00,2024-10-12 11:17:00
sleep,Sleeping time,2024-10-12 22:11:00,2024-10-13 06:11:00
exercise,Going for a run or workout,2024-10-13 06:11:00,2024-10-13 10:08:00
sleep,Sleeping time,2024-10-13 21:06:00,2024-10-14 01:06:00
personal,Running errands or personal tasks,2024-10-14 01:06:00,2024-10-14 04:07:00
sleep,Sleeping time,2024-10-14 23:22:00,2024-10-15 07:22:00
exercise,Going for a run or workout,2024-10-15 07:22:00,2024-10-15 07:53:00
sleep,Sleeping time,2024-10-15 21:02:00,2024-10-16 03:02:00
leisure,Watching TV or reading,2024-10-16 03:02:00,2024-10-16 03:56:00
work,Working on a project,2024-10-16 03:56:00,2024-10-16 08:50:00
work,Working on a project,2024-10-16 08:50:00,2024-10-16 09:08:00
personal,Running errands or personal tasks,2024-10-16 09:08:00,2024-10-16 12:22:00
sleep,Sleeping time,2024-10-16 22:18:00,2024-10-17 03:18:00
leisure,Watching TV or reading,2024-10-17 03:18:00,2024-10-17 07:50:00
work,Working on a project,2024-10-17 07:50:00,2024-10-17 08:59:00
sleep,Sleeping time,2024-10-17 23:25:00,2024-10-18 07:25:00
personal,Running errands or personal tasks,2024-10-18 07:25:00,2024-10-18 11:25:00
sleep,Sleeping time,2024-10-18 23:38:00,2024-10-19 06:38:00
personal,Running errands or personal tasks,2024-10-19 06:38:00,2024-10-19 07:36:00
personal,Running errands or personal tasks,2024-10-19 07:36:00,2024-10-19 08:39:00
sleep,Sleeping time,2024-10-19 21:02:00,2024-10-20 06:02:00
work,Working on a project,2024-10-20 06:02:00,2024-10-20 11:01:00
leisure,Watching TV or reading,2024-10-20 11:01:00,2024-10-20 13:21:00
exercise,Going for a run or workout,2024-10-20 13:21:00,2024-10-20 14:51:00
exercise,Going for a run or workout,2024-10-20 14:51:00,2024-10-20 14:56:00
exercise,Going for a run or workout,2024-10-20 14:56:00,2024-10-20 17:46:00
sleep,Sleeping time,2024-10-20 21:34:00,2024-10-21 04:34:00
leisure,Watching TV or reading,2024-10-21 04:34:00,2024-10-21 06:57:00
work,Working on a project,2024-10-21 06:57:00,2024-10-21 09:15:00
personal,Running errands or personal tasks,2024-10-21 09:15:00,2024-10-21 12:11:00
sleep,Sleeping time,2024-10-21 23:15:00,2024-10-22 06:15:00
leisure,Watching TV or reading,2024-10-22 06:15:00,2024-10-22 10:38:00
sleep,Sleeping time,2024-10-22 22:28:00,2024-10-23 07:28:00
exercise,Going for a run or workout,2024-10-23 07:28:00,2024-10-23 08:16:00
leisure,Watching TV or reading,2024-10-23 08:16:00,2024-10-23 11:59:00
exercise,Going for a run or workout,2024-10-23 11:59:00,2024-10-23 13:23:00
sleep,Sleeping time,2024-10-23 23:50:00,2024-10-24 04:50:00
leisure,Watching TV or reading,2024-10-25 05:05:00,2024-10-25 08:21:00
exercise,Going for a run or workout,2024-10-25 08:21:00,2024-10-25 10:39:00
sleep,Sleeping time,2024-10-25 23:43:00,2024-10-26 08:43:00
work,Working on a project,2024-10-26 08:43:00,2024-10-26 12:40:00
exercise,Going for a run or workout,2024-10-26 12:40:00,2024-10-26 14:10:00
exercise,Going for a run or workout,2024-10-26 14:10:00,2024-10-26 15:34:00
exercise,Going for a run or workout,2024-10-26 15:34:00,2024-10-26 19:37:00
personal,Running errands or personal tasks,2024-10-26 19:37:00,2024-10-26 22:04:00
sleep,Sleeping time,2024-10-26 23:39:00,2024-10-27 07:39:00
exercise,Going for a run or workout,2024-10-27 07:39:00,2024-10-27 09:07:00
personal,Running errands or personal tasks,2024-10-27 09:07:00,2024-10-27 12:34:00
work,Working on a project,2024-10-27 12:34:00,2024-10-27 16:38:00
work,Working on a project,2024-10-27 16:38:00,2024-10-27 17:25:00
sleep,Sleeping time,2024-10-27 22:01:00,2024-10-28 03:01:00
